Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
dialog_trader_statement_relationship_supply_tools,Quest,Dialogs,,,They supply me with tools and parts.,,Sie versorgen mich mit Werkzeugen und Teilen.,Me suministran herramientas y repuestos.,Ils me fournissent des outils et des pièces.,Mi forniscono strumenti e parti.,彼らは私に道具と部品を供給してくれます。,그들은 도구와 부품을 제공합니다.,Dostarczają mi narzędzia i części.,Eles me fornecem ferramentas e peças.,Они снабжают меня инструментами и деталями.,Bana alet ve parça sağlıyorlar.,他们为我提供工具和零件。,他們為我提供工具和零件。
dialog_trader_statement_surprised_alive,Quest,Dialogs,,,I'm surprised you're still alive.,,"Ich bin überrascht, dass du noch lebst.",Me sorprende que sigas vivo.,Je suis surpris que vous soyez toujours en vie.,Sono sorpreso che tu sia ancora vivo.,あなたがまだ生きていることに驚いています。,당신이 아직 살아있어서 놀랍습니다.,"Dziwię się, że wciąż żyjesz.",Estou surpreso que você ainda esteja vivo.,"Я удивлен, что ты еще жив.",Hâlâ hayatta olmana şaşırdım.,我很惊讶你还活着。,我很驚訝你還活著。
dialog_trader_statement_theduke,Quest,Dialogs,,,The Duke became the boss of Navezgane after the apocalypse. He controls the economy and what remains of the military.,,Der Herzog wurde nach der Apokalypse der Chef von Navezgane. Er kontrolliert die Wirtschaft und die Überreste des Militärs.,El duque se convirtió en el jefe de Navezgane después del apocalipsis. Controla la economía y lo que queda del ejército.,Le duc est devenu le patron de Navezgane après l'apocalypse. Il contrôle l'économie et ce qui reste de l'armée.,Il duca è diventato il capo di Navezgane dopo l'apocalisse. Controlla l'economia e ciò che resta dei militari.,公爵は黙示録の後でNavezganeのボスになりました。彼は経済と軍隊の残りを支配している。,Duke는 종말 이후 Navezgane의 보스가되었습니다. 그는 경제와 군대의 남은 것을 통제합니다.,"Książę został szefem Navezgane po apokalipsie. Kontroluje gospodarkę i to, co zostało z wojska.",O duque se tornou o chefe de Navezgane após o apocalipse. Ele controla a economia e o que resta dos militares.,"Герцог стал боссом Навезгана после апокалипсиса. Он контролирует экономику и то, что осталось от военных.","Dük, kıyametten sonra Navezgane'nin patronu oldu. Ekonomiyi ve ordudan geriye kalanları kontrol ediyor.",天启后，公爵成为纳维兹甘的头目。他控制着经济和军事力量。,天啟後，公爵成為納維茲甘的頭目。他控制著經濟和軍事力量。
dialog_trader_statement_theduke_history_hostile,Quest,Dialogs,,,"A soldier and a patriot, at least according to the Cassadores.",,"Ein Soldat und ein Patriot, zumindest nach Angaben der Cassadores.","Un soldado y un patriota, al menos según los Cassadores.","Un soldat et un patriote, du moins selon les Cassadores.","Un soldato e un patriota, almeno secondo i Cassadores.",少なくともカサドレスによれば、兵士と愛国者。,적어도 Cassadores에 따르면 군인과 애국자.,"Żołnierz i patriota, przynajmniej według Cassadores.","Um soldado e um patriota, pelo menos segundo os caçadores.","Солдат и патриот, по крайней мере, по мнению Кассадоров.",En azından Cassadores'a göre bir asker ve bir vatansever.,至少根据卡萨多尔人的说法，是士兵和爱国者。,至少根據卡薩多爾人的說法，是士兵和愛國者。
dialog_trader_statement_theduke_history_informed,Quest,Dialogs,,,"Before he was the Duke of Navezgane, Gunnery Sergeant Fernando Braganza was a drill instructor for the Marine Corps at Camp Navajo.",,"Bevor er Herzog von Navezgane war, war Gunnery Sergeant Fernando Braganza Bohrlehrer für das Marine Corps im Camp Navajo.","Antes de ser duque de Navezgane, el sargento de artillería Fernando Braganza fue instructor de instrucción para la Infantería de Marina en Camp Navajo.","Avant d'être le duc de Navezgane, le sergent d'artillerie Fernando Braganza était un instructeur de forage pour le Corps des Marines au Camp Navajo.","Prima di diventare il duca di Navezgane, il sergente di artiglieria Fernando Braganza era un istruttore di esercitazione per il Corpo dei Marines a Camp Navajo.",彼がナベズガネ公爵になる前は、ガンネリー軍曹フェルナンドブラガンザはキャンプナバホの海兵隊の練兵教官でした。,"그가 Navezgane 공작이되기 전에, Gunnery Sergeant Fernando Braganza는 Camp Navajo의 해병대 훈련 강사였습니다.","Zanim został księciem Navezgane, sierżant strzelecki Fernando Braganza był instruktorem musztry piechoty morskiej w Camp Navajo.","Antes de ser duque de Navezgane, o sargento de artilharia Fernando Braganza foi instrutor de exercícios para o Corpo de Fuzileiros Navais no acampamento Navajo.","До того, как стать герцогом Навезганским, артиллерийский сержант Фернандо Браганса был инструктором морской пехоты в лагере Навахо.","Navezgane Dükü olmadan önce, Topçu Çavuşu Fernando Braganza, Camp Navajo'da Deniz Piyadeleri için bir tatbikat eğitmeniydi.",枪手中士费尔南多·布拉甘萨（Fernando Braganza）在担任纳威斯甘公爵之前，曾是纳瓦霍营海军陆战队的操练教练。,槍手中士費爾南多·布拉甘薩（Fernando Braganza）在擔任納威斯甘公爵之前，曾是納瓦霍營海軍陸戰隊的操練講師。
dialog_trader_statement_theduke_leader_hostile,Quest,Dialogs,,,He carried the biggest stick.,,Er trug den größten Stock.,Llevaba el palo más grande.,Il portait le plus gros bâton.,Portava il bastone più grande.,彼は最大の棒を持っていた。,그는 가장 큰 막대기를 가지고 다녔습니다.,Nosił największy kij.,Ele carregava o maior bastão.,Он нес самую большую палку.,En büyük sopayı taşıdı.,他拿着最大的棍子。,他拿著最大的棍子。
dialog_trader_statement_theduke_leader_informed,Quest,Dialogs,,,"When Camp Navajo was overrun in the first Blood Moon, all his superiors were killed in action. Now the highest ranking military officer, he immediately took command of the remaining troops.\n\nHe and the surviving soldiers regrouped in the ruins of the Twin Arrows Casino. It has been their base of operations ever since.",,"Als Camp Navajo im ersten Blutmond überrannt wurde, wurden alle seine Vorgesetzten in Aktion getötet. Jetzt war er der ranghöchste Militäroffizier und übernahm sofort das Kommando über die verbleibenden Truppen.\n\nEr und die überlebenden Soldaten gruppierten sich in den Ruinen des Twin Arrows Casino. Seitdem ist es ihre Operationsbasis.","Cuando el Campamento Navajo fue invadido en la primera Luna de Sangre, todos sus superiores murieron en acción. Ahora, el oficial militar de más alto rango, inmediatamente tomó el mando de las tropas restantes.\n\nÉl y los soldados supervivientes se reagruparon en las ruinas del casino Twin Arrows. Ha sido su base de operaciones desde entonces.","Lorsque le Camp Navajo a été envahi lors de la première lune de sang, tous ses supérieurs ont été tués au combat. Devenu officier militaire le plus haut gradé, il a immédiatement pris le commandement des troupes restantes.\n\nLui et les soldats survivants se sont regroupés dans les ruines du casino Twin Arrows. C'est depuis lors leur base d'opérations.","Quando Camp Navajo fu invaso dal primo Blood Moon, tutti i suoi superiori furono uccisi in azione. Ora l'ufficiale militare di grado più alto, prese immediatamente il comando delle truppe rimanenti.\n\nLui ei soldati sopravvissuti si sono raggruppati tra le rovine del Twin Arrows Casino. Da allora è stata la loro base operativa.",キャンプナバホが最初のブラッドムーンでオーバーランしたとき、彼の上司全員が戦死しました。現在、最高位の士官であり、彼はすぐに残りの軍隊の指揮を執った。\n\n彼と生き残った兵士たちは、ツインアローズカジノの廃墟で再会しました。それ以来、彼らの活動の拠点となっています。,첫 번째 블러드 문에서 캠프 나바호가 침략 당했을 때 그의 모든 상사가 행동으로 죽었습니다. 현재 가장 높은 군 장교가 된 그는 즉시 나머지 군대를 지휘했습니다.\n\n그와 살아남은 군인들은 Twin Arrows Casino의 폐허에서 재편성되었습니다. 그 이후로 그들의 운영 기지였습니다.,"Kiedy obóz Navajo został opanowany podczas pierwszego Krwawego Księżyca, wszyscy jego przełożeni zginęli w akcji. Teraz najwyższy rangą oficer wojskowy natychmiast objął dowództwo nad pozostałymi oddziałami.\n\nOn i pozostali przy życiu żołnierze przegrupowali się w ruinach kasyna Twin Arrows. Od tamtej pory jest ich bazą operacyjną.","Quando o acampamento Navajo foi invadido na primeira Lua de Sangue, todos os seus superiores foram mortos em combate. Agora o oficial militar de mais alta patente, ele imediatamente assumiu o comando das tropas restantes.\n\nEle e os soldados sobreviventes se reagruparam nas ruínas do Cassino Twin Arrows. Desde então, tem sido sua base de operações.","Когда Лагерь Навахо был захвачен во время первой Кровавой Луны, все его начальники были убиты в бою. Став высокопоставленным военным офицером, он немедленно принял командование оставшимися войсками.\n\nОн и выжившие солдаты перегруппировались в руинах казино Twin Arrows. С тех пор это их база операций.","Camp Navajo ilk Kanlı Ay'da istila edildiğinde, tüm üstleri eylem sırasında öldürüldü. Şimdi en yüksek rütbeli subay, kalan birliklerin komutasını hemen aldı.\n\nO ve hayatta kalan askerler, Twin Arrows Casino'nun harabelerinde yeniden bir araya geldi. O zamandan beri operasyonlarının üssü olmuştur.",当纳瓦霍营在第一个“血月”中被推翻时，他的所有上级在行动中被杀死。现在是军衔最高的军官，他立即指挥了剩余的部队。\n\n他和幸存的士兵在双箭头赌场的废墟中重新集结。从那以后，这就是他们的行动基地。,當納瓦霍營在第一個“血月”中被推翻時，他的所有上級在行動中被殺死。現在是軍銜最高的軍官，他立即指揮了剩餘的部隊。\n\n他和倖存的士兵在雙箭頭賭場的廢墟中重新集結。從那以後，這就是他們的行動基地。
dialog_trader_statement_theduke_motive,Quest,Dialogs,,,"He wants to re-establish order and restore civilization, and is willing to use force to do it.",,"Er will die Ordnung wiederherstellen und die Zivilisation wiederherstellen und ist bereit, Gewalt anzuwenden, um dies zu tun.","Quiere restablecer el orden y restaurar la civilización, y está dispuesto a usar la fuerza para hacerlo.","Il veut rétablir l'ordre et restaurer la civilisation, et est prêt à utiliser la force pour le faire.","Vuole ristabilire l'ordine e ripristinare la civiltà, ed è disposto a usare la forza per farlo.",彼は秩序を再確立し、文明を回復したいと考えており、それを行うために力を行使する用意があります。,그는 질서를 재정립하고 문명을 회복하기를 원하며이를 위해 기꺼이 무력을 사용합니다.,Chce przywrócić porządek i odnowić cywilizację i jest skłonny użyć do tego siły.,"Ele quer restabelecer a ordem e restaurar a civilização, e está disposto a usar a força para isso.",Он хочет восстановить порядок и восстановить цивилизацию и готов применить для этого силу.,Düzeni yeniden kurmak ve medeniyeti yeniden kurmak istiyor ve bunu yapmak için güç kullanmaya hazır.,他希望重新建立秩序并恢复文明，并愿意使用武力来做到这一点。,他希望重新建立秩序並恢復文明，並願意使用武力來做到這一點。
dialog_trader_statement_theduke_motive_hostile,Quest,Dialogs,,,He thinks he can turn this shithole country back into America. I wish him luck with that.,,"Er glaubt, dass er dieses Scheißland wieder in Amerika verwandeln kann. Ich wünsche ihm viel Glück damit.",Cree que puede convertir este país de mierda en Estados Unidos. Le deseo suerte con eso.,Il pense qu'il peut ramener ce pays de merde en Amérique. Je lui souhaite bonne chance.,Pensa di poter trasformare questo paese di merda in America. Gli auguro buona fortuna con quello.,彼は、このたわごとの国をアメリカに戻すことができると考えています。彼の幸運を祈っています。,그는이 멍청한 나라를 미국으로 되돌릴 수 있다고 생각합니다. 그에게 행운이 있기를 바랍니다.,"Myśli, że może zmienić ten gówniany kraj z powrotem w Amerykę. Życzę mu powodzenia.",Ele acha que pode transformar este país de merda de volta na América. Desejo-lhe sorte com isso.,"Он думает, что сможет превратить эту засранную страну обратно в Америку. Я желаю ему удачи в этом.",Bu bok çukuru ülkesini tekrar Amerika'ya çevirebileceğini düşünüyor. Bunda ona şans diliyorum.,他认为他可以将这个粪坑国家变成美国。祝他好运。,他認為他可以將這個屎洞國家變成美國。祝他好運。
dialog_trader_statement_theduke_motive_informed,Quest,Dialogs,,,"He believes in restoring law and order, defending innocent life, and securing the future of the living. His airdrops provide humanitarian aid to all the people of Navezgane.",,"Er glaubt daran, Recht und Ordnung wiederherzustellen, unschuldiges Leben zu verteidigen und die Zukunft der Lebenden zu sichern. Seine Lufttropfen leisten humanitäre Hilfe für alle Menschen in Navezgane.","Él cree en restaurar la ley y el orden, defender la vida inocente y asegurar el futuro de los vivos. Sus lanzamientos aéreos brindan ayuda humanitaria a toda la gente de Navezgane.","Il croit au rétablissement de l'ordre public, à la défense de la vie innocente et à la garantie de l'avenir des vivants. Ses parachutages fournissent une aide humanitaire à tous les habitants de Navezgane.","Crede nel ristabilire la legge e l'ordine, nel difendere la vita innocente e nel garantire il futuro dei vivi. I suoi lanci forniscono aiuti umanitari a tutta la popolazione di Navezgane.",彼は法と秩序を回復し、罪のない生命を守り、そして生きる未来を確保することを信じています。彼のエアドロップは、ナベスガネのすべての人々に人道援助を提供します。,"그는 법과 질서를 회복하고, 무고한 생명을 지키며, 생명의 미래를 보장한다고 믿습니다. 그의 에어 드랍은 Navezgane의 모든 사람들에게 인도 주의적 지원을 제공합니다.","Wierzy w przywrócenie prawa i porządku, obronę niewinnego życia i zabezpieczenie przyszłości żywych. Jego zrzuty zapewniają pomoc humanitarną wszystkim mieszkańcom Navezgane.","Ele acredita na restauração da lei e da ordem, na defesa de vidas inocentes e na garantia do futuro dos vivos. Seus lançamentos aéreos fornecem ajuda humanitária a todo o povo de Navezgane.","Он верит в восстановление закона и порядка, защиту невинных жизней и обеспечение будущего живых. Его аэродромы обеспечивают гуманитарную помощь всем жителям Навезганэ.","Yasa ve düzeni yeniden tesis etmeye, masum yaşamı savunmaya ve yaşayanların geleceğini güvence altına almaya inanıyor. Onun airdropları tüm Navezgane halkına insani yardım sağlıyor.",他坚信恢复法律和秩序，捍卫无辜的生命，并确保生活的未来。他的空投为Navezgane全体人民提供了人道主义援助。,他堅信恢復法律和秩序，捍衛無辜的生命，並確保生活的未來。他的空投為Navezgane全體人民提供了人道主義援助。
dialog_trader_statement_theduke_name_hostile,Quest,Dialogs,,,He likes to pretend he's royalty.,,"Er tut gerne so, als wäre er ein König.",Le gusta fingir que es de la realeza.,Il aime faire semblant de faire partie de la royauté.,Gli piace fingere di essere un re.,彼は王族のふりをするのが好きです。,그는 자신이 왕족 인 척하는 것을 좋아합니다.,"Lubi udawać, że jest członkiem rodziny królewskiej.",Ele gosta de fingir que é da realeza.,Ему нравится притворяться королевской особой.,Kraliyet ailesi gibi davranmayı seviyor.,他喜欢假装自己是皇室成员。,他喜歡假裝自己是皇室成員。
dialog_trader_statement_theduke_name_informed,Quest,Dialogs,,,"When he was still a drill sergeant, his recruits sarcastically named him after John Wayne because of his macho swagger.\n\nInstead of being insulted, he took the name as a source of pride, and has been called The Duke ever since.",,"Als er noch ein Drill-Sergeant war, benannten ihn seine Rekruten wegen seiner Macho-Prahlerei sarkastisch nach John Wayne.\n\nAnstatt beleidigt zu werden, nahm er den Namen als Quelle des Stolzes und wird seitdem der Herzog genannt.","Cuando todavía era sargento de instrucción, sus reclutas lo llamaron sarcásticamente en honor a John Wayne debido a su arrogancia machista.\n\nEn lugar de ser insultado, tomó el nombre como un motivo de orgullo y desde entonces lo han llamado El Duque.","Quand il était encore sergent instructeur, ses recrues l'ont sarcastiquement nommé d'après John Wayne à cause de sa fanfaronnade macho.\n\nAu lieu d'être insulté, il a pris le nom comme une source de fierté et s'appelle The Duke depuis.","Quando era ancora un sergente istruttore, le sue reclute lo chiamarono sarcasticamente dopo John Wayne a causa della sua spavalderia macho.\n\nInvece di essere insultato, ha preso il nome come motivo di orgoglio e da allora è stato chiamato The Duke.",彼がまだ練兵教官だったとき、彼の新兵は彼のマッチョな闊歩のためにジョン・ウェインにちなんで皮肉を込めて彼に名前を付けました。\n\n侮辱される代わりに、彼はプライドの源としてその名前を取り、それ以来、デュークと呼ばれています。,"그가 여전히 훈련 하사 였을 때, 그의 신병들은 그의 사나이 때문에 그를 존 웨인의 이름을 따서 냉소적으로 지명했습니다.\n\n모욕을당하는 대신 그 이름을 자부심의 원천으로 삼았고 그 이후로 듀크라고 불 렸습니다.","Kiedy był jeszcze sierżantem musztry, jego rekruci sarkastycznie nazwali go imieniem Johna Wayne'a z powodu jego macho zuchwałości.\n\nZamiast zostać obrażonym, przyjął to imię jako powód do dumy i od tego czasu nazywany jest księciem.","Quando ele ainda era um sargento instrutor, seus recrutas sarcasticamente o nomearam em homenagem a John Wayne por causa de sua arrogância machista.\n\nEm vez de ser insultado, ele considerou o nome como uma fonte de orgulho, e desde então tem sido chamado de O Duque.","Когда он был еще сержантом по строевой подготовке, новобранцы саркастически называли его в честь Джона Уэйна из-за его мачо-чванства.\n\nВместо того, чтобы быть оскорбленным, он взял это имя как предмет гордости, и с тех пор его называют Герцогом.","Hâlâ talim çavuşu iken, askerler alaycı bir şekilde onun maço havası yüzünden John Wayne'in adını verdi.\n\nHakarete uğramak yerine, adını bir gurur kaynağı olarak aldı ve o zamandan beri Dük olarak anılıyor.",当他仍是钻探中士时，他的新兵由于男子气的招摇摇晃而讽刺地取名约翰·韦恩（John Wayne）。\n\n他没有受到侮辱，而是以这个名字为荣，并从此被称为“公爵”。,當他仍是鑽探中士時，他的新兵由於男子氣的招搖搖晃而諷刺地以約翰·韋恩（John Wayne）的名字命名。\n\n他沒有受到侮辱，而是以這個名字為榮，並從此被稱為“公爵”。
dialog_trader_statement_unknown_history,Quest,Dialogs,,,That was before my time.,,Das war vor meiner Zeit.,Eso fue antes de mi tiempo.,C'était avant mon temps.,Era prima del mio tempo.,それは私の時間の前でした。,그것은 내 시대 이전이었습니다.,To było przed moimi czasami.,Isso foi antes do meu tempo.,Это было до меня.,Bu benim zamanımdan önceydi.,那是我的时间。,那是我的時間。
dialog_trader_statement_unknown_leader,Quest,Dialogs,,,He has been in charge for as long as I can remember.,,"Er ist verantwortlich, solange ich mich erinnern kann.",Ha estado a cargo desde que tengo uso de razón.,Il est responsable depuis aussi longtemps que je me souvienne.,È stato in carica da quando ricordo.,彼は私が覚えている限りずっと担当してきました。,그는 내가 기억할 수있는 한 오랫동안 책임자였습니다.,"On rządzi, odkąd pamiętam.",Ele está no comando desde que me lembro.,"Сколько я себя помню, он был у власти.",Ben kendimi bildim bileli o görevdeydi.,据我所知，他一直在负责。,據我所知，他一直在負責。
dialog_trader_statement_whiteriveroutposts,Quest,Dialogs,,,"Whiteriver is the largest settlement of living humans in Arizona. Survivor outposts often name themselves Whiteriver, after the original settlement.",,Whiteriver ist die größte Siedlung lebender Menschen in Arizona. Hinterbliebene Außenposten nennen sich nach der ursprünglichen Siedlung oft Whiteriver.,"Whiteriver es el asentamiento más grande de seres humanos vivos en Arizona. Los puestos avanzados de sobrevivientes a menudo se llaman a sí mismos Whiteriver, en honor al asentamiento original.","Whiteriver est la plus grande colonie d'êtres humains vivants en Arizona. Les avant-postes de survivants se nomment souvent Whiteriver, d'après la colonie d'origine.","Whiteriver è il più grande insediamento di esseri umani viventi in Arizona. Gli avamposti dei sopravvissuti spesso si chiamano Whiteriver, dopo l'insediamento originale.",ホワイトリバーは、アリゾナ州で最大の生きている人間の居住地です。生存者の前哨基地は、最初の入植地にちなんで、自分たちをホワイトリバーと名付けることがよくあります。,화이트 리버는 애리조나에서 가장 큰 살아있는 인간 정착지입니다. 생존자 전초 기지는 종종 원래 정착지의 이름을 따서 화이트 리버라는 이름을지었습니다.,"Whiteriver to największa osada żyjących ludzi w Arizonie. Placówki ocalałych często nazywają się Białą Górą, od nazwy pierwotnej osady.","Whiteriver é o maior assentamento de humanos vivos no Arizona. Os postos avançados dos sobreviventes costumam se autodenominar Whiteriver, em homenagem ao assentamento original.",Уайтривер - крупнейшее поселение из ныне живущих людей в Аризоне. Аванпосты выживших часто называют себя Whiteriver в честь первоначального поселения.,"Whiteriver, Arizona'daki en büyük yaşayan insan yerleşim yeridir. Hayatta kalan ileri karakollar, orijinal yerleşimden sonra kendilerine genellikle Whiteriver adını verirler.",Whiteriver是亚利桑那州最大的人类居住区。在最初的定居点之后，幸存者前哨站经常将自己称为白河。,Whiteriver是亞利桑那州最大的人類居住區。在最初的定居點之後，倖存者前哨站經常將自己命名為Whiteriver。
dialog_trader_statement_whiteriveroutposts_history_hostile,Quest,Dialogs,,,Some hippie commune or something.,,Eine Hippie-Kommune oder so.,Alguna comuna hippie o algo así.,Une commune hippie ou quelque chose comme ça.,Qualche comune hippie o qualcosa del genere.,ヒッピーコミューンか何か。,히피 코뮌이나 뭔가.,Jakaś komuna hipisów czy coś.,Alguma comunidade hippie ou algo assim.,Коммуна хиппи или что-то в этом роде.,Bir hippi komünü falan.,一些嬉皮公社之类的东西。,一些嬉皮公社之類的東西。
dialog_trader_statement_whiteriveroutposts_history_informed,Quest,Dialogs,,,"Whiteriver was the largest settlement in the Fort Apache Indian Reservation. Remote enough to be relatively untouched by global destruction, it became a haven for refugees during the war. After the first Blood Moon wiped out most of the living, survivors flocked to Whiteriver hoping for safety.",,"Whiteriver war die größte Siedlung im Fort Apache Indianerreservat. Es war weit genug entfernt, um von der globalen Zerstörung relativ unberührt zu bleiben, und wurde während des Krieges zu einem Zufluchtsort für Flüchtlinge. Nachdem der erste Blutmond die meisten Lebenden ausgelöscht hatte, strömten Überlebende nach Whiteriver und hofften auf Sicherheit.","Whiteriver era el asentamiento más grande de la reserva india de Fort Apache. Lo suficientemente remoto como para estar relativamente al margen de la destrucción global, se convirtió en un refugio para los refugiados durante la guerra. Después de que la primera Luna de Sangre acabó con la mayoría de los vivos, los supervivientes acudieron en masa a Whiteriver con la esperanza de estar a salvo.","Whiteriver était la plus grande colonie de la réserve indienne de Fort Apache. Suffisamment éloigné pour être relativement épargné par la destruction mondiale, il est devenu un refuge pour les réfugiés pendant la guerre. Après que la première lune de sang ait anéanti la plupart des vivants, les survivants ont afflué vers Whiteriver dans l'espoir d'être en sécurité.","Whiteriver era il più grande insediamento nella riserva indiana di Fort Apache. Abbastanza remoto da essere relativamente incontaminato dalla distruzione globale, è diventato un rifugio per i rifugiati durante la guerra. Dopo che la prima Luna di sangue spazzò via la maggior parte dei vivi, i sopravvissuti accorsero a Whiteriver sperando in una salvezza.",ホワイトリバーはフォートアパッチインディアン居留地で最大の集落でした。世界的な破壊の影響を比較的受けないほど遠く離れた場所にあり、戦争中は難民の避難所になりました。最初のブラッドムーンが生き物のほとんどを一掃した後、生存者は安全を望んでホワイトリバーに群がりました。,"화이트 리버는 포트 아파치 인디언 보호 구역에서 가장 큰 정착지였습니다. 전 세계적 파괴의 영향을받지 않을만큼 멀리 떨어진 이곳은 전쟁 중 난민의 안식처가되었습니다. 첫 번째 블러드 문이 생명체 대부분을 멸망시킨 후, 생존자들은 안전을 바라며 화이트 리버로 몰려 들었습니다.","Whiteriver była największą osadą w rezerwacie Indian Fort Apache. Wystarczająco odległy, by stosunkowo nietknięty przez globalne zniszczenia, stał się rajem dla uchodźców podczas wojny. Po tym, jak pierwszy Krwawy Księżyc zgładził większość żywych, ocalali gromadzili się do Whiteriver w nadziei na bezpieczeństwo.","Whiteriver foi o maior assentamento da Reserva Indígena Fort Apache. Remoto o suficiente para ser relativamente intocado pela destruição global, tornou-se um paraíso para refugiados durante a guerra. Depois que a primeira Lua de Sangue eliminou a maioria dos vivos, os sobreviventes se reuniram em Whiteriver na esperança de segurança.","Уайтривер был самым большим поселением в индейской резервации Форт-Апачи. Достаточно удаленный, чтобы быть относительно нетронутым глобальным разрушением, он стал убежищем для беженцев во время войны. После того, как первая Кровавая Луна уничтожила большую часть живых, выжившие стекались в Уайтривер в надежде на безопасность.","Whiteriver, Fort Apache Indian Reservation'daki en büyük yerleşim yeriydi. Göreceli olarak küresel yıkımdan etkilenmeyecek kadar uzak olan bölge, savaş sırasında mülteciler için bir sığınak haline geldi. İlk Kanlı Ay canlıların çoğunu yok ettikten sonra, hayatta kalanlar güvenlik umuduyla Whiteriver'e akın etti.",怀特里弗（Whiteriver）是阿帕特堡印第安保留区最大的定居点。它远未受到全球破坏的影响，而已成为战争期间难民的避风港。在第一个血月消灭了大部分人之后，幸存者涌向白河镇，希望获得安全。,懷特里弗（Whiteriver）是Fort Fort Indian Indian Reservation中最大的定居點。它遠未受到全球破壞的影響，而已成為戰爭期間難民的避風港。第一個血月消滅了大多數人後，倖存者湧向懷特里弗，希望安全。
noteDukeAirdrop,items,Quest - Note,,,Note from The Duke of Navezgane,,Notiz vom Duke von Navezgane,Nota del duque de Navezgane,Note du Duc de Navezgane,Biglietto del Duca di Navezgane,デュークネーブズジェーンからのメモ,듀크 오브 나베즈게인의 쪽지,Notatka od Księcia Navezgane,Bilhete do Duque de Navezgane,Записка от Дюка всего Невезгана,Navezganeli Duke'ten.,来自纳维戈恩公爵的便条,來自暗黑伊甸園公爵的便條
noteDukeAirdropDesc,items,Quest - Note,,,Please accept these supplies as a token of my generosity.\n\n- The Duke,,Bitte akzeptieren Sie diese Lieferungen als Zeichen meiner Großzügigkeit.\n\n- Der Herzog,Acepte estos suministros como muestra de mi generosidad.\n\n- El duque,Veuillez accepter ces fournitures en gage de ma générosité.\n\n- Le duc,Per favore accetta queste provviste come segno della mia generosità.\n\n- Il duca,私の寛大さの証としてこれらの物資を受け入れてください。\n\n-デューク,내 관대함의 표시로이 보급품을 받아주세요.\n\n- 공작,Proszę przyjąć te dostawy jako dowód mojej hojności.\n\n- Książę,Aceite esses suprimentos como um símbolo de minha generosidade.\n\n- O duque,"Пожалуйста, примите эти припасы в знак моей щедрости.\n\n- Герцог",Lütfen bu malzemeleri cömertliğimin bir göstergesi olarak kabul edin.\n\n- Dük,请接受这些物品作为我慷慨的象征。\n\n- 公爵,請接受這些物品作為我慷慨的象徵。\n\n- 公爵
